epoch,class_acc,class_loss,class_mae,dense_2_acc,dense_2_loss,dense_2_mae,dense_3_acc,dense_3_loss,dense_3_mae,dense_4_acc,dense_4_loss,dense_4_mae,dense_5_acc,dense_5_loss,dense_5_mae,loss
0,0.94870924949646,0.0495232455432415,0.16826100647449493,0.0,0.8858546614646912,0.2004307210445404,0.0,0.03013238124549389,0.13446053862571716,0.009850543923676014,0.0529303178191185,0.17955662310123444,0.0027173913549631834,0.04541394114494324,0.1644190549850464,1.0638543367385864
1,0.993546187877655,0.006881185341626406,0.047250352799892426,0.0,0.6106517910957336,0.12207800149917603,0.0,0.0157869141548872,0.09734770655632019,0.006793478038161993,0.02705664001405239,0.13152900338172913,0.004755434580147266,0.022152209654450417,0.11881579458713531,0.6825288534164429
2,0.9962635636329651,0.0045043970458209515,0.03288411721587181,0.0,0.5964569449424744,0.10979120433330536,0.0,0.011858508922159672,0.08614136278629303,0.009850543923676014,0.02315155789256096,0.12132459878921509,0.004076086916029453,0.017803223803639412,0.10658077895641327,0.653774619102478
3,0.9972826242446899,0.0033469689078629017,0.023723170161247253,0.0,0.5877403020858765,0.09543795883655548,0.0,0.01019283663481474,0.07905542850494385,0.008152173832058907,0.018459979444742203,0.10806000977754593,0.0027173913549631834,0.014879061840474606,0.0968451201915741,0.6346192359924316
4,0.9976223111152649,0.0028416619170457125,0.019635286182165146,0.0,0.5753797292709351,0.08759842813014984,0.0,0.008492657914757729,0.07269711792469025,0.011888586916029453,0.016834111884236336,0.10236600041389465,0.005434782709926367,0.012801882810890675,0.08845649659633636,0.6163498163223267
5,0.9993206262588501,0.0014642428141087294,0.015386892482638359,0.0,0.5758829712867737,0.07726931571960449,0.0,0.007452736608684063,0.06741917878389359,0.0074728261679410934,0.013747967779636383,0.09176840633153915,0.0037364130839705467,0.01047852449119091,0.08153362572193146,0.6090267300605774
6,0.999660313129425,0.0011420714436098933,0.013039886020123959,0.0,0.5912191271781921,0.08957891911268234,0.0,0.009189615026116371,0.07493174821138382,0.009850543923676014,0.013118996284902096,0.08977450430393219,0.0033967390190809965,0.01035055611282587,0.08083710074424744,0.6250202059745789
7,1.0,0.0008159619173966348,0.011709713377058506,0.0,0.5724326968193054,0.07689279317855835,0.0,0.006260033696889877,0.061954740434885025,0.008491847664117813,0.01184331625699997,0.0854879841208458,0.00305706518702209,0.008948661386966705,0.07424794882535934,0.600300669670105
8,0.999660313129425,0.0008915233775041997,0.011003604158759117,0.0,0.5899662971496582,0.0885392278432846,0.0,0.007433378603309393,0.06711649894714355,0.009850543923676014,0.012823697179555893,0.08842650800943375,0.00509510887786746,0.010117441415786743,0.07812369614839554,0.6212324500083923
9,1.0,0.0005070436163805425,0.008757494390010834,0.0,0.6292354464530945,0.08435900509357452,0.0,0.005905315279960632,0.05946212261915207,0.0074728261679410934,0.010298395529389381,0.0787176638841629,0.00305706518702209,0.008196261711418629,0.07135584950447083,0.6541427373886108
10,1.0,0.0009027524502016604,0.013552315533161163,0.0,0.7742425799369812,0.1592470109462738,0.0,0.015201002359390259,0.09687349945306778,0.007133152335882187,0.020378993824124336,0.11338943988084793,0.005774456541985273,0.017201634123921394,0.10379504412412643,0.8279269933700562
11,1.0,0.0007035344606265426,0.010847198776900768,0.0,0.5857117772102356,0.0976688340306282,0.0,0.00756623363122344,0.06776553392410278,0.010529891587793827,0.014180163852870464,0.09377425909042358,0.00441576074808836,0.011149314232170582,0.08343346416950226,0.6193110346794128
12,0.999660313129425,0.0005869537708349526,0.008308595977723598,0.0,0.5814864039421082,0.08981320261955261,0.0,0.006853863596916199,0.0648561343550682,0.007133152335882187,0.011995610781013966,0.08587264269590378,0.005434782709926367,0.009538710117340088,0.07619328796863556,0.6104616522789001
13,1.0,0.00033305076067335904,0.00695761339738965,0.0,0.5796658396720886,0.08155173063278198,0.0,0.0053047435358166695,0.05740496888756752,0.0074728261679410934,0.010123106651008129,0.0787140429019928,0.0020380434580147266,0.00787808746099472,0.07030883431434631,0.6033048033714294
14,1.0,0.00018602743512019515,0.005100389011204243,0.0,0.5809087753295898,0.07785723358392715,0.0,0.0048554809764027596,0.05378112941980362,0.01019021775573492,0.00889069028198719,0.07313546538352966,0.0033967390190809965,0.0070466105826199055,0.06556908041238785,0.6018874645233154
